sep=,
DeviceTag:,RF-2
FirmwareVersion:,2.1.0
AppVersion:,2023.6.0
SyncStatus:,Un-synced
OutputRate:,60Hz
FilterProfile:,General
Measurement Mode:,Sensor fusion Mode - Extended(Euler)
StartTime: ,2024-12-10_14:33:40_181 CET
© Movella Technologies B. V. 2005-2024

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
210,819495386,-177.376648,-80.630867,86.350487,0.193849,0.298483,0.022457,0
211,819512053,-177.424759,-80.589844,86.422134,0.155749,0.131297,-0.002785,0
212,819528720,-177.484467,-80.555168,86.394997,-0.134919,0.088189,0.295208,0
213,819545387,-177.400742,-80.641281,86.399124,-0.134047,0.120579,0.263786,0
214,819562054,-177.326965,-80.715240,86.432396,0.313505,0.402683,0.084612,0
215,819578721,-177.379471,-80.681854,86.502205,0.305837,0.203735,0.097207,0
216,819595388,-177.330185,-80.681328,86.431786,0.141810,0.152627,0.239927,0
217,819612055,-177.267761,-80.739273,86.384193,-0.019642,0.156271,0.044202,0
218,819628722,-177.281174,-80.736389,86.447311,-0.062575,0.136168,-0.025340,0
219,819645389,-177.300262,-80.695450,86.516174,-0.104860,0.027134,0.101698,0
220,819662056,-177.241531,-80.685440,86.594681,-0.007349,-0.025566,0.180079,0
221,819678723,-177.145233,-80.706268,86.656685,0.180252,0.097753,0.076405,0
222,819695390,-177.122345,-80.695984,86.701012,0.133274,0.110024,-0.022902,0
223,819712057,-177.190384,-80.657463,86.785439,0.002505,0.160964,0.123925,0
224,819728724,-177.278152,-80.628647,86.986748,-0.009343,0.028770,0.201768,0
225,819745391,-177.226807,-80.623421,87.129486,0.249268,-0.035378,0.181958,0
226,819762058,-177.192902,-80.670944,87.135826,0.379920,0.038728,0.165277,0
227,819778725,-177.135818,-80.779724,87.000275,0.082592,0.154843,0.063436,0
228,819795392,-177.235153,-80.816071,87.164177,0.200074,0.393956,0.081540,0
229,819812059,-177.361313,-80.726089,87.348740,0.496725,0.379547,0.132063,0
230,819828726,-177.375336,-80.606102,87.213951,0.105421,0.012448,0.193847,0
231,819845393,-177.238449,-80.606567,86.975266,-0.367915,-0.002670,0.190835,0
232,819862060,-177.103226,-80.668053,86.822052,-0.289602,0.251591,-0.039432,0
233,819878727,-177.054092,-80.635864,86.747131,-0.031533,0.409066,-0.109410,0
234,819895394,-177.047546,-80.527962,86.733421,0.107408,0.275959,0.085366,0
235,819912061,-177.014099,-80.425171,86.672066,0.157202,0.113556,0.133871,0
236,819928728,-176.965439,-80.363159,86.548340,0.056399,0.080977,0.203809,0
237,819945395,-176.909058,-80.343742,86.418327,-0.063310,0.077368,0.198236,0
238,819962062,-176.850311,-80.321312,86.359108,-0.068987,0.046651,0.188807,0
239,819978729,-176.843781,-80.271507,86.401451,0.111057,0.064053,0.259063,0
240,819995396,-176.804459,-80.236282,86.391365,0.129926,0.034374,0.271740,0
241,820012063,-176.753281,-80.242249,86.375542,0.024347,0.080122,0.212347,0
242,820028730,-176.703842,-80.274818,86.365829,-0.007276,0.174850,0.117389,0
243,820045397,-176.720551,-80.305229,86.459007,-0.087008,0.249419,0.024734,0
244,820062064,-176.788620,-80.359779,86.578651,-0.023935,0.242272,0.005880,0
245,820078731,-176.877365,-80.409828,86.715363,-0.069516,0.198340,-0.004747,0
246,820095398,-176.943298,-80.450005,86.792381,-0.287654,0.096616,0.090406,0
247,820112065,-176.968964,-80.464485,86.966072,-0.200117,0.063974,0.164910,0
248,820128732,-176.959473,-80.456825,87.045090,-0.078780,-0.030851,0.191291,0
249,820145399,-176.861572,-80.492622,87.002640,-0.195318,-0.071777,0.149407,0
250,820162066,-176.667847,-80.589714,86.904930,-0.262284,0.125387,0.034529,0
251,820178733,-176.495285,-80.676147,86.956871,0.080276,0.453431,-0.043841,0
252,820195400,-176.454636,-80.666595,87.091644,0.269308,0.360308,-0.007895,0
253,820212067,-176.465805,-80.620384,87.116371,0.054755,0.012431,0.169769,0
254,820228734,-176.488678,-80.640587,87.220573,0.139486,0.034994,0.248233,0
255,820245401,-176.450699,-80.683968,87.359627,0.466910,0.461544,0.324317,0
256,820262068,-176.397537,-80.726089,87.362663,0.333771,0.418817,0.179783,0
257,820278735,-176.355057,-80.794830,87.381859,0.235336,0.243890,0.075162,0
258,820295402,-176.244568,-80.890228,87.304283,0.161400,0.283375,0.025827,0
259,820312069,-176.103760,-80.958710,87.144119,0.086751,0.454187,0.003930,0
